decile,n,score_mean,score_min,score_max,citas_median,citas_mean,text_len_mean,ngrams_uniq
D1,750,0.6230744130047489,0.4031917084072468,0.6582781741042562,5.0,17.169333333333334,32014.048,2104.564
D2,750,0.6714203830276487,0.658309298542374,0.6825924408255677,10.0,25.8,37241.99733333333,2552.1413333333335
D3,750,0.6919218400919611,0.6825942824214299,0.700883865111095,14.0,27.633333333333333,39795.18666666667,2796.6786666666667
D4,750,0.7085224599345893,0.7009193584818594,0.7158573443777125,19.5,59.968,38951.833333333336,2772.402666666667
D5,761,0.7230426333071768,0.7158612105080203,0.7302469574102048,26.0,71.72536136662286,41664.031537450726,2994.8488830486203
D6,739,0.737194451605404,0.730247281186832,0.744596789086837,39.0,88.25575101488498,44489.58863328823,3204.698240866035
D7,750,0.7522002149198234,0.7446257391015634,0.7602492111486718,68.0,163.44266666666667,42193.609333333334,3060.441333333333
D8,750,0.7690697461084828,0.7602552875237526,0.778912549434214,118.0,255.17066666666668,44840.11866666667,3261.5053333333335
D9,750,0.7923403569550796,0.7789283669239979,0.8087887664595526,277.0,616.4986666666666,46071.684,3350.0226666666667
D10,750,0.8419232599339082,0.8088017129337797,0.9568221181361765,1311.5,5455.464,47480.454666666665,3497.3306666666667
