document_id,title,author,datepub,citations,score_v1,N_qual_v1,N_total,text_length,Od_raw,Od,Id,score_v2,N_total_v2,T_total_v2,log_cit
7486,Rehabilitation Medicine Response to the COVID-19 Pandemic.,"Stein J, Visco CJ, Barbuto S.",2020,23958,0.7942745596081235,103,3120,37407,4.578372089367328,0.970267181926134,0.9254503026262754,0.9568221181361765,3120,3199,10.08409931513136
6304,Molecular epidemiology of two Klebsiella pneumoniae mastitis outbreaks on a dairy farm in New York State.,"Munoz MA, Welcome FL, Schukken YH, Zadoks RN.",2007,27711,0.881325135499498,607,3828,51018,4.531588971573757,0.9603527138625392,0.9388052794583011,0.9538884835412678,3828,4272,10.229620811362162
1763,Multi-omics modality completion and knowledge distillation for drug response prediction in cervical cancer.,"Li D, Yan B, Liao K, Huang J, Zhang J, Chen Y, Zhu J, Zhi S, Chen L.",2025,53767,0.8384911480481173,429,4257,54119,4.377038493047598,0.9275997496346724,0.9996337617416218,0.9492099532667573,4257,4622,10.892433773649802
944,ENDOCRINOLOGY IN THE TIME OF COVID-19: Management of calcium metabolic disorders and osteoporosis.,"Gittoes NJ, Criseno S, Appelman-Dijkstra NM, Bollerslev J, Canalis E, Rejnmark L, Hassan-Smith Z.",2020,23932,0.8136170968991511,234,2783,39402,4.501006800554736,0.9538716161464492,0.9253506574224185,0.94531532852924,2783,2962,10.083013538694615
5048,Deep UV-excited fluorescence microscopy installed with CycleGAN-assisted image translation enhances precise detection of,"Sato J, Matsumoto T, Nakao R, Tanaka H, Nagahara H, Niioka H, Takamatsu T.",2023,53818,0.8170654074029725,482,3172,43454,4.297944369115799,0.9108378021047965,0.9997207691823186,0.9375026922280532,3172,3583,10.893381843654915
476,Patient-Derived Xenotransplant of CNS Neoplasms in Zebrafish: A Systematic Review.,"Sarmiento BE, Callegari S, Ghotme KA, Akle V.",2022,53473,0.8083450514485889,387,6234,83704,4.286043577202395,0.9083157380158327,0.9991305746437947,0.9355601890042213,6234,6808,10.886950833448497
6671,Feminist bioethics in Brazil: development and implications for nursing.,"Araújo CFS, Silva SL, Ferreira GI, Guilhem DB.",2025,8413,0.7678323510873721,199,3295,43084,4.591091239370046,0.9729626757804438,0.8294144832884504,0.9298982180328458,3295,3461,9.037652264150466
913,Altered evolution: are reproductive endocrinology and infertility specialists ready for the genetically engineered futur,"Pavlovic ZJ, Sax MR, Kim AS, DeCherney AH.",2020,7422,0.8332784837788816,112,2444,29781,4.61329400307483,0.9776679755136923,0.8179140413334296,0.9297417952596134,2444,2511,8.912338567117548
1553,Tumor Immune Microenvironment and Checkpoint Inhibition in Clear Cell Ovarian Carcinoma: Bridging Tumor Biology and Clin,"Borella F, Capella G, Cosma S, Gallio N, Gavello F, Revelli A, Ferraioli D, Cusato J, Castellano I, Cassoni P, Bertero L.",2025,53767,0.7538127624608829,509,6205,80338,4.241860966140148,0.8989523798857537,0.9996337617416218,0.9291567944425141,6205,6816,10.892433773649802
1760,Enhancement of colorectal cancer therapy through interruption of the HSF1-HSP90 axis by p53 activation or cell cycle inh,"Isermann T, Schneider KL, Wegwitz F, De Oliveira T, Conradi LC, Volk V, Feuerhake F, Papke B, Stintzing S, Mundt B, Kühnel F, Moll UM, Schulz-Heddergott R.",2025,40177,0.818520553902408,919,6891,89047,4.292058756285232,0.9095904991631495,0.9728948150746614,0.9285817939366031,6891,8096,10.601074861122095
468,Bcl-2 family of proteins as therapeutic targets in genitourinary neoplasms.,"Hall C, Troutman SM, Price DK, Figg WD, Kang MH.",2012,32757,0.8432815315076574,969,4844,65186,4.272473368160387,0.9054398842782312,0.954157258015701,0.920055096399472,4844,5462,10.396902486042325
4678,LI-RADS 2017: An update.,"Kielar AZ, Chernyak V, Bashir MR, Do RK, Fowler KJ, Mitchell DG, Cerny M, Elsayes KM, Santillan C, Kamaya A, Kono Y, Sirlin CB, Tang A.",2018,14595,0.7758067037666155,509,4572,60507,4.42162025084687,0.9370476965601026,0.8799678125359487,0.9199237313528564,4572,5071,9.588502797556337
5356,Investigating the Influence of Anaesthesiology for Cancer Resection Surgery on Oncologic Outcomes: The Role of Experimen,"Howle R, Moorthy A, Buggy DJ.",2022,53818,0.7877825740192159,130,2093,28332,4.177947242621746,0.885407524379443,0.9997207691823186,0.9197014978203057,2093,2289,10.893381843654915
500,Energy Restriction and Colorectal Cancer: A Call for Additional Research.,"Castejón M, Plaza A, Martinez-Romero J, Fernandez-Marcos PJ, Cabo R, Diaz-Ruiz A.",2020,40117,0.7989724244334271,1157,10948,147995,4.224357806763891,0.8952430393622419,0.9727576626773059,0.9184974263567611,10948,12460,10.599580390384643
5390,Why is it crucial to reintegrate pathology into cancer research?,"Rodriguez-Canales J, Eberle FC, Jaffe ES, Emmert-Buck MR.",2011,10417,0.8113656673299579,286,4061,51783,4.4624774308029345,0.9457063158430314,0.8490207399018964,0.916700643060691,4061,4277,9.251290358305138
3661,Safety in the use of ultrasound in rheumatology during the COVID-19 Pandemic. Spanish Society of Rheumatology positionin,"Mayordomo L, Collada JM, Hernández FMF, Bueno Á, Insua Vilariño SA, Jiménez-Núñez FG, Martínez Pérez R, Möller I, Usón Jaeger J, García-Llorente JF, Álvaro-Gracia JM, Aparicio Ruiz E, Asaro Daverio L, Naredo E; Grupo de Trabajo de Ecografía de la Sociedad Española de Reumatología (ECOSER).",2020,14028,0.8603502996029044,285,2445,34510,4.395849817639539,0.9315863218362872,0.8763316745552039,0.9150099276519622,2445,2587,9.548881894718772
1677,Assessment of the Quality of Cervical Cancer Prevention Services in Southwest Nigeria: A Cross-Sectional Study Using Don,"Afolabi EK, Olaogun AAE.",2025,40177,0.6775410679054806,276,2385,31881,4.18597067981708,0.8871078837309596,0.9728948150746614,0.9128439631340701,2385,2619,10.601074861122095
1710,Systematic nurse-led consultations based on electronic patient-reported outcomes for women with endometrial or ovarian c,"Christiansen MG, Pappot H, Jarden M, Tolver A, Mikkelsen HS, Mirza MR, Piil K.",2025,53767,0.8083439772956278,276,3163,43541,4.124179333610132,0.8740128110323309,0.9996337617416218,0.9116990962451181,3163,3459,10.892433773649802
1426,HIV HGM biobank as a research platform for paediatric infectious diseases and COVID-19 pandemic.,"Irene C, Elba M, Jiménez JL, Mellado MJ, Muñoz-Fernández MÁ.",2022,23936,0.817050327316162,251,2529,32905,4.257677183797646,0.9023042168784065,0.9253659944976556,0.9092227501641812,2529,2781,10.08318065797639
2997,Cross-cultural adaptation of the milestones project in otolaryngology for the brazilian reality.,"Mendes NFB, Coelho ICM.",2023,4131,0.8239188591130128,162,1903,28833,4.582957726623123,0.9712389887715953,0.7641512920053554,0.9091126797417233,1903,2023,8.326516830239528
1539,Metastatic Brain Adenocarcinoma and Pelvic Squamous Carcinoma Originating From Cervical Adenosquamous Carcinoma: A Case ,"Liu P, Miao X, Xu Q, Li Z, Lu W, Li J.",2025,53767,0.7280928616213621,353,2883,40905,4.105721363331632,0.8701011231099386,0.9996337617416218,0.9089609146994435,2883,3239,10.892433773649802
2494,[Greenhouse gas equivalents and water consumption of product sample packaging in dermatology].,"Niebel D, Schweig C, Luhmann E, Saha S.",2024,1880,0.8663285360496663,165,3422,36610,4.72061559241678,1.0,0.691929619314182,0.9075788857942546,3422,3571,7.53955882930103
330,Assessing clinical trial failure risk factors and reasons in gastric cancer.,"Zhang Z, Yin J, Yue Y, Su Y, Jiang H.",2022,53473,0.7483941464945177,307,1894,27154,4.096277454158611,0.8680997315758266,0.9991305746437947,0.907408984496217,1894,2182,10.886950833448497
6165,Scoping review and classification of deep learning in medical genetics.,"Ledgister Hanchard SE, Dwyer MC, Liu S, Hu P, Tekendo-Ngongang C, Waikel RL, Duong D, Solomon BD.",2022,17584,0.8288004776911914,511,3437,48733,4.2938246224666905,0.9099647286862418,0.8970650491584465,0.9060948248279033,3437,3689,9.774801544908083
1633,Prognostic model of ubiquitination-related genes in ovarian cancer based on transcriptomic analysis and experimental val,"Lin X, Zhao S, Li L, Huang Y, Zhong Q, Luo H, Zhang Q, Xu S, Li Q, Li M.",2025,40177,0.6820494165532669,369,4387,60145,4.138348295415779,0.8770155548839962,0.9728948150746614,0.9057793329411957,4387,4864,10.601074861122095
6472,SARS-CoV-2 sequencing: The technological initiative to strengthen early warning systems for public health emergencies in,"Álvarez-Díaz DA, Laiton-Donato K, Franco-Muñoz C, Mercado-Reyes M.",2020,4914,0.8305036769062449,163,2715,34637,4.523807845111114,0.9587037059842471,0.7800767180898632,0.905115609615932,2715,2933,8.500047032581268
252,What is our threshold: Departmental planning for radiation oncology's future in the time of COVID-19.,"Chandra RA, Thomas CR Jr.",2020,2514,0.5721543984220517,13,1008,12145,4.6477303232089815,0.9849658601417385,0.7185869190796227,0.9050521778231038,1008,1018,7.83002808253384
1776,The OvarianTag™ Biomarker Panel Emerges as a Prognostic Tool to Guide Clinical Decisions in Cisplatin-Based Treatment of,"Braga LDC, Amaral LRD, Villar Delfino PH, Andrade NR, de Oliveira Salles PG, da Silva Filho AL, Bertarini PLL, da Silva Ramos APÁ, Gomes MS, Silva Lopes LM.",2025,53767,0.7365543928934684,389,3905,53537,4.0717917937583055,0.8629106311159976,0.9996337617416218,0.9039275703036849,3905,4220,10.892433773649802
427,Immune reaction and colorectal cancer: friends or foes?,"Formica V, Cereda V, Nardecchia A, Tesauro M, Roselli M.",2014,6282,0.7936033949530814,565,6221,79481,4.465430503387122,0.9463321429620061,0.8026121672821004,0.9032161502580345,6221,6644,8.745602852402946
523,Seizures and COVID-19: Results from the Spanish Society of Neurology's COVID-19 registry.,"Fernández SF, Pérez Sánchez JR, Pérez GH, Pérez MR, Castro CG, García-Azorín D, Ezpeleta D.",2022,23932,0.76394064523999,194,2672,38518,4.216233682500926,0.8935213419989911,0.9253506574224185,0.9030701366260193,2672,2893,10.083013538694615
4989,COVID-19 radiology CT personnel management.,"Özdemir Hİ, Savaş R, Özbek SS.",2021,14028,0.8010968856858048,206,1469,19566,4.312153310008972,0.9138490184868358,0.8763316745552039,0.9025938153073462,1469,1584,9.548881894718772
4750,Radiology department strategies to protect radiologic technologists against COVID19: Experience from Wuhan.,"Zhao Y, Xiang C, Wang S, Peng C, Zou Q, Hu J.",2020,14028,0.7772646123995198,297,1636,22567,4.310348655716752,0.9134665688299961,0.8763316745552039,0.9023261005475585,1636,1909,9.548881894718772
