metrica,IS_d_v1,IS_d_v2
N documentos,7500.0,7500.0
Docs score=0,0.0,0.0
% score=0,0.0,0.0
Media,0.7431130869362954,0.7310502198887115
Desv. tipica,0.07983003253786794,0.06130758958947185
Minimo,0.08808167105643569,0.4031917084072468
Q1,0.7081659176578678,0.6921612043885847
Mediana,0.7525364997879661,0.7302469574102048
Q3,0.791620959840236,0.7687587993651485
P90,0.8250570001189477,0.8087900611069753
Maximo,0.9663122207233713,0.9568221181361765
IQR,0.0834550421823681,0.07659759497656371
Asimetria,-2.03194259956227,-0.03685272249502706
Curtosis,9.773291339954927,0.77809726613365
